City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
107,Iquitos,PE,-3.7481,-73.2472,75.24,88,75,1.14,broken clouds,2021-07-23 02:42:35
108,Bethel,US,41.3712,-73.414,71.56,84,1,4.61,clear sky,2021-07-23 02:44:52
109,Ostrovnoy,RU,68.0531,39.5131,42.98,88,100,19.01,overcast clouds,2021-07-23 02:44:53
110,Khurai,IN,24.0436,78.3319,79.59,82,100,8.32,overcast clouds,2021-07-23 02:44:53
111,Natal,BR,-5.795,-35.2094,75.42,78,40,11.5,scattered clouds,2021-07-23 02:44:53
112,Caluquembe,AO,-13.7833,14.6833,48.67,27,44,4.41,scattered clouds,2021-07-23 02:44:54
113,Kruisfontein,ZA,-34.0033,24.7314,43.88,77,100,7.09,light rain,2021-07-23 02:44:54
114,Chuy,UY,-33.6971,-53.4616,49.66,79,91,6.62,overcast clouds,2021-07-23 02:44:54
115,Raahe,FI,64.6833,24.4833,53.69,69,59,12.59,broken clouds,2021-07-23 02:44:54
116,Norman Wells,CA,65.282,-126.8329,75.24,57,75,8.05,moderate rain,2021-07-23 02:42:27
117,Oranjemund,NA,-28.55,16.4333,53.31,40,1,9.37,clear sky,2021-07-23 02:44:55
118,Vestmannaeyjar,IS,63.4427,-20.2734,53.13,98,100,19.82,overcast clouds,2021-07-23 02:44:55
119,Lebu,CL,-37.6167,-73.65,50.79,85,100,8.14,overcast clouds,2021-07-23 02:44:55
120,Puerto Lleras,CO,3.0223,-73.4044,70.05,98,100,1.68,overcast clouds,2021-07-23 02:44:56
121,Nyrob,RU,60.733,56.7202,55.02,81,51,2.98,broken clouds,2021-07-23 02:44:56
122,Marsh Harbour,BS,26.5412,-77.0636,82.35,76,100,6.71,overcast clouds,2021-07-23 02:44:56
123,East London,ZA,-33.0153,27.9116,52.83,68,97,20.29,light rain,2021-07-23 02:44:56
124,Adrar,MR,20.5022,-10.0711,85.66,17,5,9.69,clear sky,2021-07-23 02:44:57
125,Winnetka,US,42.1081,-87.7359,78.94,82,1,5.75,clear sky,2021-07-23 02:44:57
126,Thompson,CA,55.7435,-97.8558,78.96,61,75,5.75,smoke,2021-07-23 02:44:57
127,Uribia,CO,11.7139,-72.266,80.46,77,88,20.74,overcast clouds,2021-07-23 02:44:58
128,Dustlik,UZ,40.5247,68.0358,85.98,19,0,2.21,clear sky,2021-07-23 02:44:58
129,Esperance,AU,-33.8667,121.9,58.84,60,61,29.57,broken clouds,2021-07-23 02:42:32
130,Auki,SB,-8.7676,160.7034,83.57,73,36,3.06,scattered clouds,2021-07-23 02:44:58
131,Shubarkuduk,KZ,49.1447,56.4872,85.75,28,17,8.48,few clouds,2021-07-23 02:44:58
132,Vostok,RU,46.4856,135.8833,87.15,47,51,7.16,broken clouds,2021-07-23 02:44:59
133,Mar Del Plata,AR,-38.0023,-57.5575,55.99,63,0,13.0,clear sky,2021-07-23 02:44:59
134,Krasnoselkup,RU,65.7,82.4667,67.44,63,98,5.82,overcast clouds,2021-07-23 02:44:59
135,Cayenne,GF,4.9333,-52.3333,79.09,86,0,0.0,clear sky,2021-07-23 02:45:00
136,Marawi,PH,7.9986,124.2928,80.37,61,93,9.44,overcast clouds,2021-07-23 02:45:00
137,Tuatapere,NZ,-46.1333,167.6833,52.83,67,28,4.99,scattered clouds,2021-07-23 02:45:00
138,Baykit,RU,61.67,96.37,75.72,42,40,3.13,scattered clouds,2021-07-23 02:45:00
