City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Putai,FR,46.6579,1.9863,58.59,93,7,6.38,clear sky
199,Fairbanks,US,64.8378,-147.7164,80.56,45,40,9.22,smoke
200,Saint-Francois,FR,46.4154,3.9054,63.18,100,21,3.44,fog
201,Chumikan,RU,54.7183,135.315,82.72,47,67,10.69,broken clouds
202,Yulara,AU,-25.2406,130.9889,75.04,29,0,24.16,clear sky
203,High Level,CA,58.5169,-117.136,59.11,100,90,5.75,mist
204,Hakui,JP,36.8833,136.7833,92.71,63,54,6.96,broken clouds
205,Xam Nua,LA,20.4197,104.0439,77.85,81,100,5.39,overcast clouds
206,Beyneu,KZ,45.3167,55.2,96.4,18,55,14.74,broken clouds
207,Bakel,SN,14.905,-12.4568,83.55,67,5,15.55,clear sky
208,Ballater,GB,57.0493,-3.0402,59.4,97,96,1.81,overcast clouds
209,Phalombe,MW,-15.8064,35.6507,65.41,70,2,0.58,clear sky
210,Marzuq,YE,14.4,46.4667,76.53,64,9,8.03,clear sky
211,Mahebourg,MU,-20.4081,57.7,73.26,88,40,11.5,scattered clouds
212,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,61.11,32,62,3.38,broken clouds
213,Astana,KZ,51.1801,71.446,75.15,43,0,4.47,clear sky
214,Gilgit,PK,35.9221,74.3087,80.02,46,15,0.81,few clouds
215,Aykhal,RU,66.0,111.5,65.3,66,53,11.16,broken clouds
216,Broken Hill,AU,-31.95,141.4333,44.31,76,90,19.57,moderate rain
217,Taltal,CL,-25.4,-70.4833,58.37,65,16,4.59,few clouds
218,Meridian,US,43.6121,-116.3915,85.05,38,1,0.0,haze
219,Marquette,US,46.5333,-87.6335,59.36,84,83,5.53,broken clouds
220,Upernavik,GL,72.7868,-56.1549,42.04,88,100,10.47,overcast clouds
221,Alexander City,US,32.944,-85.9539,75.38,100,1,0.0,clear sky
222,Mbaiki,CF,3.8678,17.9892,71.51,82,100,2.33,overcast clouds
223,Poum,NC,-20.2333,164.0167,72.36,63,1,10.56,clear sky
224,Tabora,TZ,-5.0167,32.8,60.58,82,0,9.22,clear sky
225,Beloha,MG,-25.1667,45.05,69.55,61,19,7.38,few clouds
226,Kahului,US,20.8947,-156.47,80.62,75,40,16.11,scattered clouds
227,Melendugno,IT,40.2747,18.3368,76.66,84,0,9.22,clear sky
228,Kavaratti,IN,10.5669,72.642,82.56,81,100,23.64,overcast clouds
229,Farah,AF,32.5,62.5,90.43,13,0,8.88,clear sky
230,Rayevskiy,RU,54.0658,54.9468,80.47,51,11,9.1,few clouds
231,Taos,US,36.4072,-105.5731,66.6,68,20,4.0,few clouds
232,Tecoanapa,MX,16.5167,-98.75,77.11,93,65,10.56,broken clouds
233,Port Elizabeth,ZA,-33.918,25.5701,45.1,93,75,20.71,moderate rain
234,Aktanysh,RU,55.7216,54.0829,77.22,48,95,6.08,moderate rain
235,Olafsvik,IS,64.8945,-23.7142,52.07,96,100,12.37,overcast clouds
236,Markova,UA,48.6758,24.4138,57.79,89,37,4.72,scattered clouds
237,Arraial Do Cabo,BR,-22.9661,-42.0278,67.23,78,99,6.08,overcast clouds
238,Namibe,AO,-15.1961,12.1522,65.25,71,0,2.84,clear sky
239,Xingcheng,CN,40.6167,120.7167,82.02,67,100,9.4,overcast clouds
240,Pangnirtung,CA,66.1451,-65.7125,41.23,88,98,4.43,overcast clouds
241,Laguna,US,38.421,-121.4238,86.5,32,1,6.91,clear sky
242,Sisimiut,GL,66.9395,-53.6735,43.43,80,99,3.74,overcast clouds
243,Cananea,MX,30.95,-110.3,77.76,42,20,3.78,few clouds
244,Chokurdakh,RU,70.6333,147.9167,55.33,58,98,7.94,overcast clouds
245,Prince Rupert,CA,54.3161,-130.3201,55.49,97,90,0.0,mist
246,Jizan,SA,17.3333,42.6667,81.54,69,42,0.85,scattered clouds
247,Nam Phong,TH,16.7023,102.8557,88.12,69,100,8.79,overcast clouds
248,Sur,OM,22.5667,59.5289,97.93,45,67,5.12,broken clouds
249,Svetlogorsk,BY,52.6333,29.7333,59.77,60,0,9.84,clear sky
250,Gornopravdinsk,RU,60.05,69.9,73.81,47,41,3.51,scattered clouds
251,Dingle,PH,10.9995,122.6711,86.32,68,79,20.45,broken clouds
252,Makakilo City,US,21.3469,-158.0858,79.12,71,90,6.91,light intensity drizzle
253,Marawi,PH,7.9986,124.2928,81.43,54,100,8.99,overcast clouds
254,Hambantota,LK,6.1241,81.1185,86.34,74,20,14.97,few clouds
