City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
252,Makakilo City,US,79.12,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
253,Marawi,PH,81.43,overcast clouds,7.9986,124.2928,Derogongan Residence
254,Hambantota,LK,86.34,few clouds,6.1241,81.1185,Bungalow 63
255,Topolobampo,MX,88.11,broken clouds,25.6,-109.05,Hotel Marina Topolobampo
256,Shimoda,JP,86.36,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
257,Sao Filipe,CV,75.81,scattered clouds,14.8961,-24.4956,Hotel Xaguate
258,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
259,Ciudad Bolivar,VE,75.47,overcast clouds,8.1222,-63.5497,Hotel Edi
261,Akdepe,TM,89.69,clear sky,42.0551,59.3788,Мой дом
262,Kieta,PG,80.58,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
265,Aklavik,CA,81.32,broken clouds,68.2191,-135.0107,Aklavik Inn
270,Faanui,PF,78.94,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
271,Sao Jose Da Coroa Grande,BR,74.19,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
272,Gainesville,US,77.76,clear sky,29.6516,-82.3248,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
274,Paka,MY,85.98,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA
275,Sinnamary,GF,78.57,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
277,Banjar,ID,84.06,few clouds,-8.19,114.9675,The Hamsa Resort
280,Porto Novo,BJ,76.82,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
281,Bengkulu,ID,84.15,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
284,Natitingou,BJ,71.35,overcast clouds,10.3042,1.3796,Auberge Centrale
285,Muli,MV,82.33,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
287,Belyy Yar,RU,75.09,clear sky,53.6039,91.3903,Pasportnyy Stol
289,Sangar,RU,77.11,broken clouds,63.9242,127.4739,
290,Myitkyina,MM,78.76,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
293,Richmond,US,75.15,haze,37.5538,-77.4603,The Jefferson Hotel
296,Arlit,NE,86.97,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
297,Bilma,NE,87.49,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
298,Cap Malheureux,MU,73.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
299,North Battleford,CA,73.49,clear sky,52.7834,-108.2847,Tropical Inn
300,Vanimo,PG,84.33,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
301,Pombas,CV,74.98,broken clouds,17.1503,-25.0201,Paul Paradis
306,Omboue,GA,72.3,overcast clouds,-1.5746,9.2618,Hotel Olako
307,Waddan,LY,74.82,clear sky,29.1614,16.139,محل الشريف محمد العايب
310,Marsh Harbour,BS,83.23,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
311,Ambon,ID,78.94,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
312,Mlonggo,ID,89.49,overcast clouds,-6.5333,110.7,Asia Metal Art
316,Pasni,PK,85.32,clear sky,25.2631,63.471000000000004,Kashmiri Hotal
318,Basco,PH,82.49,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
320,Muisne,EC,75.96,broken clouds,0.6,-80.0333,Quinta Samay
323,Xingyi,CN,75.07,broken clouds,24.1877,102.81700000000001,
326,La Ronge,CA,70.05,smoke,55.1001,-105.2842,Northland Motor Hotel
327,Ixtapa,MX,79.56,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
328,Baruun-Urt,MN,86.95,light rain,46.6806,113.2792,Ахмадын амралт сувилал
329,Parrita,CR,83.97,overcast clouds,9.5201,-84.3225,Beso del Viento
331,Calgary,CA,71.02,smoke,51.0501,-114.0853,Ramada Plaza by Wyndham Calgary Downtown
332,Agnanteron,GR,73.18,clear sky,39.4872,21.8456,Παππάς Π.Απόστολος
333,Turayf,SA,71.85,clear sky,31.6725,38.6637,Turaif
334,Tumsar,IN,84.43,overcast clouds,21.3833,79.7333,Sai Guest House
337,Grenville,GD,80.65,overcast clouds,12.1167,-61.6167,Valley Breeze Guest House
